DATE,B230RC0Q173SBEA
2016-01-01,323689.0
2016-04-01,324265.0
2016-07-01,324926.0
2016-10-01,325557.0
2017-01-01,326053.0
2017-04-01,326554.0
2017-07-01,327140.0
2017-10-01,327692.0
2018-01-01,328091.0
2018-04-01,328526.0
2018-07-01,329040.0
2018-10-01,329522.0
2019-01-01,329868.0
2019-04-01,330245.0
2019-07-01,330729.0
2019-10-01,331208.0
2020-01-01,331537.0
2020-04-01,331715.0
2020-07-01,331887.0
2020-10-01,332060.0
2021-01-01,332005.0
2021-04-01,332166.0
2021-07-01,332497.0
2021-10-01,332802.0
2022-01-01,332991.0
2022-04-01,333320.0
2022-07-01,333762.0
2022-10-01,334201.0
2023-01-01,334547.0
2023-04-01,334934.0
2023-07-01,335430.0
2023-10-01,335923.0
2024-01-01,336308.0
2024-04-01,336692.0
